Registro;Nombre;Referencia de Tramite;Equivalencia Terapéutica o Biosimilar;Titular;Estado del Registro;Resolución Inscríbase;Fecha Inscríbase;Ultima Renovación;Fecha Próxima renovación;Régimen;Vía Administración;Condición de Venta;Expende tipo establecimiento;Indicación;Fecha Próxima Renovación;Procesado
F-26166/21;ABACAVIR/LAMIVUDINA 600/300 COMPRIMIDOS RECUBIERTOS;RF1553061;EQUIVALENTE TERAPÉUTICO;LABORATORIO BIOSANO S.A.;Vigente;12481;18-05-2021;N/A;;Importado Terminado con Reacondicionamiento Local;ORAL;Receta Simple;N/A;Indicado en la terapia antirretroviral combinada, para el tratamiento de la infección causada por el Virus de la Inmunodeficiencia Humana (VIH) en adultos y adolescentes mayores de 12 años.;18-05-2026;True
F-24490/23;ABATERO COMPRIMIDOS 250 mg;RF949497;EQUIVALENTE TERAPÉUTICO;SEVEN PHARMA CHILE S.p.A.;Vigente;27148;21-12-2018;N/A;;Importado Terminado con Reacondicionamiento Local;ORAL;Receta Simple;N/A;En combinación con prednisona o prednisolona está indicado para:-El tratamiento de pacientes con cáncer de próstata metastásico resistente a castración en hombres adultos que son asintomáticos o levemente sintomáticos tras el fracaso del tratamiento de deprivación de andrógenos en los cuales la quimioterapia no está aun clínicamente indicada . - El tratamiento del cáncer de próstata metastásico resistente a la castración en hombres adultos cuya enfermedad ha progresado durante o tras régimen de quimioterapia basado en Docetaxel;21-12-2028;True
F-27612/23;ABATERO R COMPRIMIDOS RECUBIERTOS 250 mg (ABIRATERONA ACETATO);RF1928367;EQUIVALENTE TERAPÉUTICO;SEVEN PHARMA CHILE S.p.A.;Vigente;15393;28-06-2023;N/A;;Importado Terminado con Reacondicionamiento Local;ORAL;Receta Simple;N/A;Está indicado con prednisona o prednisolona para: · el tratamiento de hombres adultos con cáncer de próstata metastásico, de alto riesgo, hormonosensible, de nuevo diagnóstico (CPHSm) en combinación con tratamiento de deprivación de andrógenos (TDA) (ver “Propiedades farmacodinámicas”) · el tratamiento del cáncer de próstata metastásico resistente a la castración (CPRCm) en hombres adultos que sean asintomáticos o levemente sintomáticos tras el fracaso del tratamiento de deprivación de andrógenos en los cuales la quimioterapia no está aún clínicamente indicada (ver “Propiedades farmacodinámicas”) · el tratamiento del CPRCm en hombres adultos cuya enfermedad ha progresado durante o tras un régimen de quimioterapia basado en docetaxel;28-06-2028;True
F-27410/23;ABATERO R COMPRIMIDOS RECUBIERTOS 500 mg (ABIRATERONA ACETATO);RF1928347;EQUIVALENTE TERAPÉUTICO;SEVEN PHARMA CHILE S.p.A.;Vigente;7337;29-03-2023;N/A;;Importado Terminado con Reacondicionamiento Local;ORAL;Receta Simple;N/A;Está indicado con prednisona o prednisolona para: · el tratamiento de hombres adultos con cáncer de próstata metastásico, de alto riesgo, hormonosensible, de nuevo diagnóstico (CPHSm) en combinación con tratamiento de deprivación de andrógenos (TDA) (ver “Propiedades farmacodinámicas”) · el tratamiento del cáncer de próstata metastásico resistente a la castración (CPRCm) en hombres adultos que sean asintomáticos o levemente sintomáticos tras el fracaso del tratamiento de deprivación de andrógenos en los cuales la quimioterapia no está aún clínicamente indicada (ver “Propiedades farmacodinámicas”) · el tratamiento del CPRCm en hombres adultos cuya enfermedad ha progresado durante o tras un régimen de quimioterapia basado en docetaxel;29-03-2028;True
F-6415/20;ABECIDIN ACD SOLUCIÓN PARA GOTAS ORALES;;;LABORATORIO PASTEUR S.A.;Vigente;5006;04-06-1986;N/A;;Fabricación Nacional;ORAL;Receta Simple;N/A;Profiláctico en estados carenciales de vitaminas por hábitos dietéticos defectuosos o dieta inadecuada. Tratamiento de la deficiencia y profilaxis durante periodos de mayor necesidad como primera infancia, embarazo y lactancia.;04-06-2025;True
F-24317/23;ABIRAND COMPRIMIDOS 250 mg;RF1052374;EQUIVALENTE TERAPÉUTICO;MSN LABS CHILE S.p.A.;Vigente;24310;19-11-2018;N/A;;Importado Terminado con Reacondicionamiento Local;ORAL;Receta Simple;N/A;Abiraterona está indicado con prednisona o prednisolona para el tratamiento del cáncer de próstata metastásico resistente a la castración en hombres adultos que sean asintomáticos o levemente sintomáticos tras el fracaso del tratamiento de deprivación de andrógenos en los cuales la quimioterapia no está aún clínicamente indicada.;19-11-2028;True
F-27130/22;ABIRATERONA ACETATO COMPRIMIDOS RECUBIERTOS 250 mg;RF1856482;EQUIVALENTE TERAPÉUTICO;ALEMBIC PHARMACEUTICALS S.p.A.;Vigente;27825;04-11-2022;N/A;;Importado Terminado con Reacondicionamiento Local;Oral;Receta Simple;N/A;Está indicado con prednisona o prednisolona para: - El tratamiento de hombres adultos con cáncer de próstata metastásico, de alto riesgo, hormonosensible, de nuevo diagnóstico (CPHSm) en combinación con tratamiento de deprivación den andrógenos (TDA). - El tratamiento del cáncer de próstata metastásico resistente a la castración (CPRCm) en hombres adultos que sean asintomáticos o levemente sintomáticos tras el fracaso del tratamiento de deprivación de andrógenos en los cuales la quimioterapia no está aún clinicamente indicada. - El tratamiento del CPRCm en hombres adultos cuya enfermedad ha progresado durante o tras un régimen de quimioterapia basado en docetaxel.;04-11-2027;True
F-27103/22;ABIRATERONA ACETATO COMPRIMIDOS RECUBIERTOS 500 mg;RF1848009;EQUIVALENTE TERAPÉUTICO;ALEMBIC PHARMACEUTICALS S.p.A.;Vigente;26727;21-10-2022;N/A;;Importado Terminado con Reacondicionamiento Local;Oral;Receta Simple;N/A;Está indicado con prednisona o prednisolona para: - El tratamiento de hombres adultos con cáncer de próstata metastásico, de alto riesgo, hormonosensible, de nuevo diagnóstico (CPHSm) en combinación con tratamiento de deprivación de andrógenos (TDA). - El tratamiento del cáncer de próstata metastásico resistente a la castración (CPRCm) en hombres adultos que sean asintomáticos o levemente sintomáticos tras el fracaso del tratamiento de deprivación de andrógenos en los cuales la quimioterapia no está aún clinicamente indicada. - El tratamiento del CPRCm en hombres adultos cuya enfermedad ha progresado durante o tras un régimen de quimioterapia basado en docetaxel.;21-10-2027;True
F-28572/24;ABIRATERONA ACETATO COMPRIMIDOS RECUBIERTOS 500 mg;RF2221320;Equivalente Terapéutico;EXELTIS CHILE S.p.A.;Vigente;39454;05-11-2024;N/A;;Importado Terminado con Reacondicionamiento Local;ORAL;Receta Simple;N/A;está indicado con prednisona o prednisolona para: · el tratamiento de hombres adultos con cáncer de próstata metastásico, de alto riesgo, hormonosensible, de nuevo diagnóstico (CPHSm) en combinación con tratamiento de deprivación de andrógenos (TDA) (ver “Propiedades farmacodinámicas”) · el tratamiento del cáncer de próstata metastásico resistente a la castración (CPRCm) en hombres adultos que sean asintomáticos o levemente sintomáticos tras el fracaso del tratamiento de deprivación de andrógenos en los cuales la quimioterapia no está aún clínicamente indicada (ver “Propiedades farmacodinámicas”) · el tratamiento del CPRCm en hombres adultos cuya enfermedad ha progresado durante o tras un régimen de quimioterapia basado en docetaxel;05-11-2029;True
F-24297/23;ABIRATRAL COMPRIMIDOS 250 mg (ABIRATERONA ACETATO);RF944344;EQUIVALENTE TERAPÉUTICO;MEGALABS CHILE S.A.;Vigente;25627;05-12-2018;N/A;;Importado Terminado con Reacondicionamiento Local;ORAL;Receta Simple;N/A;Abiratral está indicado con prednisona o prednisolona para: - El tratamiento del cáncer de próstata metastásico resistente a la castración en hombres adultos que sean asintomáticos o levemente sintomáticos tras el fracaso del tratamiento de deprivación de andrógenos en los cuales la quimioterapia aún no está clínicamente indicada. - El tratamiento del cáncer de próstata metastásico resistente a la castración en hombres adultos cuya enfermedad ha progresado durante o tras un régimen de quimioterapia basado en docetaxel.;05-12-2028;True
F-23872/23;ABIRAVITAE COMPRIMIDOS 250 mg (ABIRATERONA);RF978283;EQUIVALENTE TERAPÉUTICO;GALENICUM HEALTH CHILE S.p.A.;Vigente;12281;15-06-2018;N/A;;Importado Terminado con Reacondicionamiento Local;ORAL;Receta Simple;N/A;ABIRAVITAE está indicado con prednisona o prednisolona para el tratamiento del cáncer metastásico de próstata avanzado (cáncer de próstata resistente a la castración) en pacientes que han recibido quimioterapia previa con docetaxel. Está indicado con prednisona o prednisolona para el tratamiento del cáncer de próstata metastásico resistente a la castración en hombres adultos que sean asintomáticos o levemente sintomáticos tras el fracaso del tratamiento de deprivación de andrógenos en los cuales la quimioterapia no está aún clínicamente indicada.;15-06-2028;True
F-21156/24;ABRAXANE LIOFILIZADO PARA SUSPENSIÓN INYECTABLE 100 mg (PACLITAXEL);RF494069;;BRISTOL - MYERS SQUIBB DE CHILE;Vigente;11833;10-06-2014;N/A;;Importado Terminado con Reacondicionamiento Local;Parenteral;Receta Simple;N/A;Tratamiento del cáncer de mama en caso de fracasar la quimioterapia combinada para la enfermedad metastásica o la recidiva dentro de los 6 meses de quimioterapia adyuvante. El tratamiento previo debe haber incluido una antraciclina, a menos que esta esté clínicamente contraindicada. Tratamiento de cáncer de pulmón no microcítico localmente avanzado o metastásico en combinación con carboplatino en pacientes que no son candidatos para cirugía curativa o terapia de radiación . Indicado para el tratamiento de primera línea de pacientes con adenocarcinoma metastásico del páncreas, en combinación con gemcitabina. Modificaciones de la dosificación para insuficiencia hepática: En pacientes con insuficiencia hepática moderada a severa, reducir la dosis inicial de ABRAXANE de acuerdo a lo indicado en la Tabla 1.(ver tabla 1 en documentos adjunto);10-06-2029;True
F-28535/24;ABRAXANE LIOFILIZADO PARA SUSPENSIÓN INYECTABLE 100 mg (PACLITAXEL);MA1991960;;BRISTOL - MYERS SQUIBB DE CHILE;Vigente;36651;10-10-2024;N/A;;Importado Terminado con Reacondicionamiento Local;Parenteral;Receta Simple;N/A;Tratamiento del cáncer de mama en caso de fracasar la quimioterapia combinada para la enfermedad metastásica o la recidiva dentro de los 6 meses de quimioterapia adyuvante. El tratamiento previo debe haber incluido una antraciclina, a menos que esta esté clínicamente contraindicada. Tratamiento de cáncer de pulmón no microcítico localmente avanzado o metastásico en combinación con carboplatino en pacientes que no son candidatos para cirugía curativa o terapia de radiación . Indicado para el tratamiento de primera línea de pacientes con adenocarcinoma metastásico del páncreas, en combinación con gemcitabina. Modificaciones de la dosificación para insuficiencia hepática: En pacientes con insuficiencia hepática moderada a severa, reducir la dosis inicial de ABRAXANE de acuerdo a lo indicado en la Tabla 1.(ver tabla 1 en documentos adjunto);10-10-2029;True
B-3051/24;Abrysvo liofilizado para solución inyectable, con solvente (vacuna virus respiratorio sincicial recombinante);RF2140005;;PFIZER CHILE S.A.;Vigente;33904;16-09-2024;N/A;;Importado Terminado con Reacondicionamiento Local;INTRAMUSCULAR;Receta Simple;N/A;ABRYSVO es una vacuna bivalente que está indicada para: - Inmunización activa de personas embarazadas entre las 32 y las 36 semanas de edad gestacional para la prevención de la enfermedad del tracto respiratorio inferior (LRTD) y la LRTD grave causada por el virus respiratorio sincicial (RSV) en lactantes desde el nacimiento hasta los 6 meses de edad. - Inmunización activa para la prevención de la LRTD causada por el virus respiratorio sincicial (RSV) en personas mayores de 60 años;16-09-2029;True
F-28508/24;ABXAPLO COMPRIMIDOS RECUBIERTOS 2,5 mg (APIXABÁN);RF2216538;;DR. REDDYS LABORATORIES CHILE S.p.A.;Vigente;35431;03-10-2024;N/A;;Importado Terminado con Reacondicionamiento Local;ORAL;Receta Simple;N/A;Prevención del tromboembolismo venoso (TEV) en pacientes adultos sometidos a cirugía electiva de reemplazo de cadera o rodilla. Prevención del ictus (accidente cerebrovascular) y de la embolia sistémica en pacientes adultos con fibrilación auricular no valvular (FANV) con uno o más factores de riesgo tales como ictus (accidente cerebrovascular) o ataque isquémico transitorio (AlT) previos edadmayor o igual a 75 años hipertensióndiabetes mellitus insuficiencia cardiaca sintomática (Clase 2 escala NYHA).Tratamiento de la trombosis venosa profunda (TVP) y de la embolia pulmonar (EP), y prevención de las recurrencias de la TVP y de la EP en pacientes adultos.;03-10-2029;True
F-28507/24;ABXAPLO COMPRIMIDOS RECUBIERTOS 5 mg (APIXABÁN);RF2216537;;DR. REDDYS LABORATORIES CHILE S.p.A.;Vigente;35430;03-10-2024;N/A;;Importado Terminado con Reacondicionamiento Local;ORAL;Receta Simple;N/A;Prevención del tromboembolismo venoso (TEV) en pacientes adultos sometidos a cirugía electiva de reemplazo de cadera o rodilla. Prevención del ictus (accidente cerebrovascular) y de la embolia sistémica en pacientes adultos con fibrilación auricular no valvular (FANV) con uno o más factores de riesgo tales como ictus (accidente cerebrovascular) o ataque isquémico transitorio (AlT) previos edadmayor o igual a 75 años hipertensióndiabetes mellitus insuficiencia cardiaca sintomática (Clase 2 escala NYHA).Tratamiento de la trombosis venosa profunda (TVP) y de la embolia pulmonar (EP), y prevención de las recurrencias de la TVP y de la EP en pacientes adultos.;03-10-2029;True
