Registro,Nombre,Referencia de Tramite,Equivalencia Terapéutica o Biosimilar,Titular,Estado del Registro,Resolución Inscríbase,Fecha Inscríbase,Ultima Renovación,Fecha Próxima renovación,Régimen,Vía Administración,Condición de Venta,Expende tipo establecimiento,Indicación,Fecha Próxima Renovación,Procesado,,,,,
F-28535/24,ABRAXANE LIOFILIZADO PARA SUSPENSIÓN INYECTABLE 100 mg (PACLITAXEL),MA1991960,,BRISTOL - MYERS SQUIBB DE CHILE,Vigente,36651,10/10/2024,N/A,,Importado Terminado con Reacondicionamiento Local,Parenteral,Receta Simple,N/A,Tratamiento del cáncer de mama en caso de fracasar la quimioterapia combinada para la enfermedad metastásica o la recidiva dentro de los 6 meses de quimioterapia adyuvante. El tratamiento previo debe haber incluido una antraciclina,,,,,,,
B-3051/24,Abrysvo liofilizado para solución inyectable,,,,,,,,,,,,,,,,,,,,
F-28508/24,ABXAPLO COMPRIMIDOS RECUBIERTOS 2,,,,,,,,,,,,,,,,,,,,
F-28507/24,ABXAPLO COMPRIMIDOS RECUBIERTOS 5 mg (APIXABÁN),RF2216537,,DR. REDDYS LABORATORIES CHILE S.p.A.,Vigente,35430,3/10/2024,N/A,,Importado Terminado con Reacondicionamiento Local,ORAL,Receta Simple,N/A,Prevención del tromboembolismo venoso (TEV) en pacientes adultos sometidos a cirugía electiva de reemplazo de cadera o rodilla. Prevención del ictus (accidente cerebrovascular) y de la embolia sistémica en pacientes adultos con fibrilación auricular no valvular (FANV) con uno o más factores de riesgo tales como ictus (accidente cerebrovascular) o ataque isquémico transitorio (AlT) previos edadmayor o igual a 75 años hipertensióndiabetes mellitus insuficiencia cardiaca sintomática (Clase 2 escala NYHA).Tratamiento de la trombosis venosa profunda (TVP) y de la embolia pulmonar (EP),,,,,,,
B-3029/24,ABXEDA CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN 100 mg/4 mL (BEVACIZUMAB),RF1939120,BIOSIMILAR,LABORATORIOS RECALCINE S.A.,Vigente,17189,16-05-2024,N/A,,Importado Terminado,PARENTERAL,Receta Simple,N/A,Abxeda está indicado en combinación con quimioterapia basada en fluoropirimidinas para el tratamiento de pacientes adultos con carcinoma metastásico de colon o recto. Abxeda está indicado en combinación con paclitaxel para el tratamiento en primera línea de pacientes adultos con cáncer de mama metastásico. Abxeda está indicado,,, de trompa de Falopio o peritoneal primario que no hayan recibido más de dos regímenes de quimioterapia previos y no hayan recibido tratamiento previo con bevacizumab u otros inhibidores VEGF o agentes dirigidos frente a receptores VEGF. Abxeda en combinación con paclitaxel y cisplatino o, alternativamente, paclitaxel y topotecán en pacientes que no puedan recibir tratamiento con platino, está indicado para el tratamiento de pacientes adultos con carcinoma de cérvix persistente, recurrente o metastásico;16-05-2029;True
B-3030/24,ABXEDA CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN 400 mg/16 mL (BEVACIZUMAB),RF1939129,BIOSIMILAR,LABORATORIOS RECALCINE S.A.,Vigente,17186,16-05-2024,N/A,,Importado Terminado,PARENTERAL,Receta Simple,N/A,Abxeda está indicado en combinación con quimioterapia basada en fluoropirimidinas para el tratamiento de pacientes adultos con carcinoma metastásico de colon o recto. Abxeda está indicado en combinación con paclitaxel para el tratamiento en primera línea de pacientes adultos con cáncer de mama metastásico. Abxeda está indicado,,, de trompa de Falopio o peritoneal primario que no hayan recibido más de dos regímenes de quimioterapia previos y no hayan recibido tratamiento previo con bevacizumab u otros inhibidores VEGF o agentes dirigidos frente a receptores VEGF. Abxeda en combinación con paclitaxel y cisplatino o, alternativamente, paclitaxel y topotecán en pacientes que no puedan recibir tratamiento con platino, está indicado para el tratamiento de pacientes adultos con carcinoma de cérvix persistente, recurrente o metastásico;16-05-2029;True
F-16974/23,AC FORTE JARABE,459/08,,LABORATORIO PASTEUR S.A.,Vigente,5552,20-08-2008,N/A,,Fabricación Nacional,ORAL,Receta Simple,N/A,Tratamiento de la tos de diversa etiologia,,,,,,,
F-16975/23,AC JARABE,458/08,,LABORATORIO PASTEUR S.A.,Vigente,5776,27-08-2008,N/A,,Fabricación Nacional,ORAL,Receta Simple,N/A,Tratamiento de la tos de diversa etiologia,,,,,,,
F-21154/24,ACCUALAXAN POLVO PARA SOLUCIÓN ORAL,RF508121,,MEGALABS CHILE S.A.,Vigente,11856,10/6/2014,N/A,,Fabricación Nacional,Oral,Receta Simple,N/A,Tratamiento del estreñimiento ocasional,10/6/2029,TRUE,,,,,
F-16094/22,ACEBRON COMPRIMIDOS 4 mg (ACENOCUMAROL),,EQUIVALENTE TERAPÉUTICO,LABORATORIOS RECALCINE S.A.,Vigente,3893,16-05-2007,N/A,,Fabricación Nacional,ORAL,Receta Simple,N/A,Tratamiento y profilaxis de las afecciones tromboembólicas.,16-05-2027,TRUE,,,,,
