Registro,Nombre,Referencia de Tramite,Equivalencia Terapéutica o Biosimilar,Titular,Estado del Registro,Resolución Inscríbase,Fecha Inscríbase,Ultima Renovación,Fecha Próxima renovación,Régimen,Vía Administración,Condición de Venta,Expende tipo establecimiento,Indicación,Fecha Próxima Renovación,Procesado,,,,,
B-2625/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-3005/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-16320/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-18949/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26050/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26051/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26052/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26053/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26045/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26046/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26047/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26048/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26049/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-23935/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-23866/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-23650/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-24273/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-25453/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-28076/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-27930/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-25454/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-24315/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-23638/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-26523/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-27636/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-25728/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-27635/23,,,,,,,,,,,,,,,,FALSE,,,,,
B-2752/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-25049/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-22556/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26602/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-22075/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-17373/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-17436/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-17374/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-17372/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-23177/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-14989/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-14990/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-23178/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-14988/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-23175/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22112/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-21246/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-18482/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-20346/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-23331/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-24501/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-18824/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22410/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-2794/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-22230/20,,,,,,,,,,,,,,,,FALSE,,,,,
B-1174/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-24259/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-24231/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-24504/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-28120/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-28121/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-28119/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-3707/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-15153/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-25604/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-23714/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-22856/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-23017/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-23313/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-23833/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-23929/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-3009/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-4198/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-21777/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-16934/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-28239/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-28440/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-14241/24,,,,,,,,,,,,,,,,FALSE,,,,,
B-1087/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-3474/20,,,,,,,,,,,,,,,,FALSE,,,,,
B-2731/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-25305/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-7024/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-9945/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-28123/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-22620/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-21904/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-25897/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-23543/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-3420/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-3688/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-25304/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-23438/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-25842/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-25401/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-19278/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-26079/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26080/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-5946/20,,,,,,,,,,,,,,,,FALSE,,,,,
B-2818/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-2890/22,,,,,,,,,,,,,,,,FALSE,,,,,
B-2941/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-24298/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-3589/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-8510/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-8511/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-916/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-914/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-915/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-26285/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-24507/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-24509/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-16263/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-26456/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-24624/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-26489/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-2785/20,,,,,,,,,,,,,,,,FALSE,,,,,
B-2786/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-27441/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-11557/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-2362/23,,,,,,,,,,,,,,,,FALSE,,,,,
B-2363/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-23189/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-21713/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-18057/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-6650/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-23277/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22040/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-6578/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-27317/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-6642/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-27797/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-14931/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-14930/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-16051/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-14940/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-13234/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-25603/20,,,,,,,,,,,,,,,,FALSE,,,,,
B-2602/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-2603/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22957/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-7744/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-7734/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-19895/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-19792/23,,,,,,,,,,,,,,,,FALSE,,,,,
B-1302/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-24698/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-4437/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-25137/24,,,,,,,,,,,,,,,,FALSE,,,,,
B-2512/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-24818/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-24819/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-24820/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-24821/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-24815/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-4036/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-20195/23,,,,,,,,,,,,,,,,FALSE,,,,,
B-1953/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-2481/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-2185/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-25916/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-18893/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-24638/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-24141/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-26641/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-26631/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-25163/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-27746/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-27747/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-22655/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-21657/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-27083/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-25150/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-25151/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-25149/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-27084/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-21658/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-25170/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-25169/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-22850/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-25171/24,,,,,,,,,,,,,,,,FALSE,,,,,
B-1134/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26189/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26190/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-24421/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-21878/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-19695/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-18558/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22601/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-27300/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-27466/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-28471/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-27750/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-23373/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-18837/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-27301/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-22673/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22862/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22599/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-9695/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-18977/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26432/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26433/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26434/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-5380/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-25080/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-19253/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-13910/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-15597/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-9123/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-24797/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-26172/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-24181/23,,,,,,,,,,,,,,,,FALSE,,,,,
B-1325/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-2795/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-21245/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-21244/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-8523/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-21648/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-15795/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-8528/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-2199/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-26102/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26103/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26104/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-27480/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-27474/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-26404/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-21733/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-21731/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-21730/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-21729/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-21322/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-17996/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-9088/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22757/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22492/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-23114/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-25523/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-23403/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-22939/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-28057/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-28060/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-26221/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-15632/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-2906/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-3001/23,,,,,,,,,,,,,,,,FALSE,,,,,
B-3000/23,,,,,,,,,,,,,,,,FALSE,,,,,
B-2999/23,,,,,,,,,,,,,,,,FALSE,,,,,
B-2998/23,,,,,,,,,,,,,,,,FALSE,,,,,
B-2997/23,,,,,,,,,,,,,,,,FALSE,,,,,
B-2407/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-24894/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-24903/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-24902/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-24898/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-24856/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-24855/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-23907/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-23908/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-22277/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-23909/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-25569/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-28077/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-23441/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-27431/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-27433/23,,,,,,,,,,,,,,,,FALSE,,,,,
B-2484/20,,,,,,,,,,,,,,,,FALSE,,,,,
B-2485/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-24008/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-24006/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-22448/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22447/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22487/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22498/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-10816/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-25125/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-25126/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-27743/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-28454/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-25927/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-1889/20,,,,,,,,,,,,,,,,FALSE,,,,,
B-2665/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-22591/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22593/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-2222/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-3525/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-20549/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-24442/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-15171/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-15170/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-25020/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-23881/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-23835/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-18621/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-1808/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-4245/20,,,,,,,,,,,,,,,,FALSE,,,,,
E-31/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26279/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-25493/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-24409/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-24210/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-24581/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-17296/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-18299/20,,,,,,,,,,,,,,,,FALSE,,,,,
B-2954/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-10580/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22946/21,,,,,,,,,,,,,,,,FALSE,,,,,
B-2945/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-23002/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-7315/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-19104/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-25764/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-25771/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-25772/20,,,,,,,,,,,,,,,,FALSE,,,,,
B-2809/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-4133/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-4131/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-10692/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-7545/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-15661/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-15660/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-7543/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22747/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22748/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-15752/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-10882/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-23264/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-23265/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-23266/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26505/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26504/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-23763/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-23765/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-23197/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-3937/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-7662/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-7809/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-12275/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-28370/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-27070/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-27068/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-27071/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-27059/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-19471/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-19391/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-27216/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-27651/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-27652/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-27217/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-23808/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-23809/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-23810/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-23811/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-17890/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-17889/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-18403/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-20094/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-18404/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-24090/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-7720/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-27150/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-26542/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-2693/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-19345/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-25231/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-25230/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-267/23,,,,,,,,,,,,,,,,FALSE,,,,,
N-598/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-4614/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-4615/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-6844/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-8841/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-1966/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-1964/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-1965/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-11181/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26574/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-13122/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-22480/21,,,,,,,,,,,,,,,,FALSE,,,,,
N-630/21,,,,,,,,,,,,,,,,FALSE,,,,,
N-427/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-21200/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-7248/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-26963/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-27553/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-755/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-6364/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-11671/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-10769/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-20512/23,,,,,,,,,,,,,,,,FALSE,,,,,
H-1227/21,,,,,,,,,,,,,,,,FALSE,,,,,
N-1/21,,,,,,,,,,,,,,,,FALSE,,,,,
N-565/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-6510/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-6509/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-25602/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-132/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-25223/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-21488/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-10229/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-8536/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-2549/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-4420/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-22831/21,,,,,,,,,,,,,,,,FALSE,,,,,
N-621/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-6192/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-11436/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-6869/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-628/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-3310/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-9084/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-9085/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-15608/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-13784/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-15609/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-6385/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-477/20,,,,,,,,,,,,,,,,FALSE,,,,,
N-472/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-21491/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-21492/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-15516/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-6598/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-22221/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-8102/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-24730/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-20103/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-9664/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-6589/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-28073/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-11673/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-15512/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-9377/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-7735/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-7738/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-20290/20,,,,,,,,,,,,,,,,FALSE,,,,,
